action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,Not Active,553640,[],CHEMBL682030,Inhibitory activity against Falcipain-2; no effect,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1C(=O)N(C(=O)OCc2ccccc2)c2ccccc21,,,CHEMBL1145878,Bioorg Med Chem Lett,2003,,CHEMBL119515,,CHEMBL119515,,0,http://www.openphacts.org/units/Nanomolar,223841,,1,0,,,IC50,nM,,,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,
,Not Active,554837,[],CHEMBL682029,Inhibitory activity against Falcipain-2; No effect,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1Nc2ccccc2C1=O,,,CHEMBL1145878,Bioorg Med Chem Lett,2003,,CHEMBL326294,ISATIN,CHEMBL326294,,0,http://www.openphacts.org/units/Nanomolar,223820,,1,0,,,IC50,nM,,,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,
,Not Active,554840,[],CHEMBL682029,Inhibitory activity against Falcipain-2; No effect,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1ccc2c(c1)C(=O)C(=O)N2,,,CHEMBL1145878,Bioorg Med Chem Lett,2003,,CHEMBL118883,,CHEMBL118883,,0,http://www.openphacts.org/units/Nanomolar,223849,,1,0,,,IC50,nM,,,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,
,Not Active,555983,[],CHEMBL682030,Inhibitory activity against Falcipain-2; no effect,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1C(=O)N(S(=O)(=O)c2ccccc2)c2ccccc21,,,CHEMBL1145878,Bioorg Med Chem Lett,2003,,CHEMBL119828,,CHEMBL119828,,0,http://www.openphacts.org/units/Nanomolar,223843,,1,0,,,IC50,nM,,,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,
,Not Active,555986,[],CHEMBL682030,Inhibitory activity against Falcipain-2; no effect,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1ccc(C)c(CN2C(=O)C(=O)c3cc(C)ccc32)c1,,,CHEMBL1145878,Bioorg Med Chem Lett,2003,,CHEMBL118638,,CHEMBL118638,,0,http://www.openphacts.org/units/Nanomolar,223840,,1,0,,,IC50,nM,,,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,
,,557287,[],CHEMBL682028,Inhibitory activity against Falcipain-2,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1ccc2[nH]c(O)c(/N=N/C(=N)S)c2c1,,,CHEMBL1145878,Bioorg Med Chem Lett,2003,"{'bei': '18.60', 'le': '0.37', 'lle': '1.23', 'sei': '5.15'}",CHEMBL119345,,CHEMBL119345,4.36,0,http://www.openphacts.org/units/Nanomolar,223828,=,1,1,=,,IC50,nM,,43900,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,43.9
,Not Active,557290,[],CHEMBL682030,Inhibitory activity against Falcipain-2; no effect,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1C(=O)N(c2ccccc2)c2ccccc21,,,CHEMBL1145878,Bioorg Med Chem Lett,2003,,CHEMBL117447,PHENYL ISATIN,CHEMBL117447,,0,http://www.openphacts.org/units/Nanomolar,223845,,1,0,,,IC50,nM,,,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,
,Not Active,557293,[],CHEMBL682030,Inhibitory activity against Falcipain-2; no effect,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1C(=O)N(C(=O)OCc2ccccc2)c2ccc(Cl)cc21,,,CHEMBL1145878,Bioorg Med Chem Lett,2003,,CHEMBL326185,,CHEMBL326185,,0,http://www.openphacts.org/units/Nanomolar,223833,,1,0,,,IC50,nM,,,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,
,Not Determined,557296,[],CHEMBL877815,Inhibitory activity against Falcipain-2; not determined,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1C(=O)N(C(=O)OCc2ccccc2)c2ccc(F)cc21,,,CHEMBL1145878,Bioorg Med Chem Lett,2003,,CHEMBL118762,,CHEMBL118762,,0,http://www.openphacts.org/units/Nanomolar,223831,,1,0,,,IC50,nM,,,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,
,Not Active,558458,[],CHEMBL682030,Inhibitory activity against Falcipain-2; no effect,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1C(=O)N(Cc2ccccc2)c2ccccc21,,,CHEMBL1145878,Bioorg Med Chem Lett,2003,,CHEMBL115581,,CHEMBL115581,,0,http://www.openphacts.org/units/Nanomolar,223844,,1,0,,,IC50,nM,,,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,
