molecule_chembl_id,canonical_smiles,standard_value
CHEMBL119345,Cc1ccc2[nH]c(O)c(/N=N/C(=N)S)c2c1,43900.0
CHEMBL120254,NC(=S)/N=N/c1c(O)[nH]c2ccc([N+](=O)[O-])cc12,4400.0
CHEMBL120076,COc1cccc(CN2C(=O)C(=O)c3cc(Cl)ccc32)c1,34600.0
CHEMBL333067,O=C1C(=O)N(Cc2ccc(Cl)cc2)c2ccc(Cl)cc21,31200.0
CHEMBL118210,Cc1cc(C)c2[nH]c(O)c(/N=N/C(=N)S)c2c1,13200.0
CHEMBL324722,COc1cccc(CN2C(=O)C(=O)c3cc(C)ccc32)c1,21900.0
CHEMBL119213,NC(=S)/N=N/c1c(O)[nH]c2ccc(Cl)cc12,32800.0
CHEMBL118355,Cc1cc(Cl)cc2c(/N=N/C(=N)S)c(O)[nH]c12,9400.0
CHEMBL336693,O=C1C(=O)N(Cc2ccccc2)c2ccc(Cl)cc21,46900.0
CHEMBL418861,NC(=S)/N=N/c1c(O)[nH]c2ccc(Br)cc12,29600.0
CHEMBL118305,O=C1Nc2ccc([N+](=O)[O-])cc2C1=O,42600.0
CHEMBL117767,Cc1ccc2c(c1)C(=O)C(=O)N2Cc1ccccc1-c1ccccc1,9200.0
CHEMBL333137,NC(=S)/N=N/c1c(O)[nH]c2ccccc12,38800.0
CHEMBL119370,NC(=S)/N=N/c1c(O)[nH]c2ccc(I)cc12,28700.0
CHEMBL119756,NC(=S)/N=N/c1c(O)[nH]c2ccc(F)cc12,38600.0
CHEMBL414179,O=S1(=O)C2=C(O)CC(c3ccc(Cl)cc3)CC2=Nc2ccc(F)cc21,5000.0
CHEMBL90748,COc1ccc(C2CC3=Nc4ccc(Cl)cc4SC3=C(O)C2)cc1OC,30000.0
CHEMBL93881,OC1=C2Sc3cc(Cl)ccc3N=C2CC(c2ccc(Cl)cc2Cl)C1,10000.0
CHEMBL420812,COc1cccc(C2CC3=Nc4ccc(Cl)cc4SC3=C(O)C2)c1OC,10000.0
CHEMBL92805,O=S1(=O)C2=C(O)CC(c3ccccc3)CC2=Nc2ccc(Cl)cc21,4000.0
CHEMBL91233,COc1ccc(C2CC3=Nc4ccc(F)cc4SC3=C(O)C2)cc1OC,20000.0
CHEMBL329337,COc1cccc(C2CC3=Nc4ccc(Cl)cc4SC3=C(O)C2)c1,20000.0
CHEMBL89985,OC1=C2Sc3cc(Cl)ccc3N=C2CCC1,40000.0
CHEMBL92872,CC1(C)CC2=Nc3ccc(Cl)cc3SC2=C(O)C1,30000.0
CHEMBL91234,OC1=C2Sc3cc(Cl)ccc3N=C2CC(c2ccccc2)C1,10000.0
CHEMBL93694,COc1ccc(C2CC3=Nc4ccc(Cl)cc4S(=O)(=O)C3=C(O)C2)cc1OC,50000.0
CHEMBL92683,CC1(C)CC2=Nc3ccc(F)cc3SC2=C(O)C1,60000.0
CHEMBL329629,CC1(C)CC2=Nc3ccc(Cl)cc3S(=O)(=O)C2=C(O)C1,5000.0
