,molecule_chembl_id,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors,pIC50,bioactivity_class
0,CHEMBL119345,Cc1ccc2[nH]c(O)c(/N=N/C(=N)S)c2c1,234.28400000000002,3.1301900000000007,4.0,3.0,4.357535479757878,inactive
1,CHEMBL120254,NC(=S)/N=N/c1c(O)[nH]c2ccc([N+](=O)[O-])cc12,265.254,2.109,3.0,5.0,5.356547323513812,intermediate
2,CHEMBL120076,COc1cccc(CN2C(=O)C(=O)c3cc(Cl)ccc32)c1,301.729,3.078100000000002,0.0,3.0,4.460923901207224,inactive
3,CHEMBL333067,O=C1C(=O)N(Cc2ccc(Cl)cc2)c2ccc(Cl)cc21,306.148,3.722900000000002,0.0,2.0,4.505845405981558,inactive
4,CHEMBL118210,Cc1cc(C)c2[nH]c(O)c(/N=N/C(=N)S)c2c1,248.31100000000004,3.4386100000000015,4.0,3.0,4.87942606879415,inactive
5,CHEMBL324722,COc1cccc(CN2C(=O)C(=O)c3cc(C)ccc32)c1,281.311,2.7331200000000013,0.0,3.0,4.6595558851598815,inactive
6,CHEMBL119213,NC(=S)/N=N/c1c(O)[nH]c2ccc(Cl)cc12,254.70200000000003,2.8541999999999996,3.0,3.0,4.484126156288321,inactive
7,CHEMBL118355,Cc1cc(Cl)cc2c(/N=N/C(=N)S)c(O)[nH]c12,268.72900000000004,3.783590000000001,4.0,3.0,5.026872146400302,intermediate
8,CHEMBL336693,O=C1C(=O)N(Cc2ccccc2)c2ccc(Cl)cc21,271.70300000000003,3.0695000000000014,0.0,2.0,4.328827157284917,inactive
9,CHEMBL418861,NC(=S)/N=N/c1c(O)[nH]c2ccc(Br)cc12,299.1530000000001,2.9633000000000003,3.0,3.0,4.528708288941061,inactive
10,CHEMBL118305,O=C1Nc2ccc([N+](=O)[O-])cc2C1=O,192.12999999999997,0.7296,1.0,4.0,4.370590400897281,inactive
11,CHEMBL117767,Cc1ccc2c(c1)C(=O)C(=O)N2Cc1ccccc1-c1ccccc1,327.38300000000004,4.391520000000003,0.0,2.0,5.036212172654444,intermediate
12,CHEMBL333137,NC(=S)/N=N/c1c(O)[nH]c2ccccc12,220.25700000000003,2.2008,3.0,3.0,4.411168274405792,inactive
13,CHEMBL119370,NC(=S)/N=N/c1c(O)[nH]c2ccc(I)cc12,346.1530000000001,2.8053999999999997,3.0,3.0,4.542118103266008,inactive
14,CHEMBL119756,NC(=S)/N=N/c1c(O)[nH]c2ccc(F)cc12,238.247,2.3399,3.0,3.0,4.413412695328245,inactive
15,CHEMBL414179,O=S1(=O)C2=C(O)CC(c3ccc(Cl)cc3)CC2=Nc2ccc(F)cc21,377.8240000000001,4.686100000000002,1.0,4.0,5.301029995663981,intermediate
16,CHEMBL90748,COc1ccc(C2CC3=Nc4ccc(Cl)cc4SC3=C(O)C2)cc1OC,387.88800000000015,5.882600000000004,1.0,5.0,4.522878745280337,inactive
17,CHEMBL93881,OC1=C2Sc3cc(Cl)ccc3N=C2CC(c2ccc(Cl)cc2Cl)C1,396.7260000000001,7.172200000000003,1.0,3.0,5.0,inactive
18,CHEMBL420812,COc1cccc(C2CC3=Nc4ccc(Cl)cc4SC3=C(O)C2)c1OC,387.8880000000002,5.882600000000004,1.0,5.0,5.0,inactive
19,CHEMBL92805,O=S1(=O)C2=C(O)CC(c3ccccc3)CC2=Nc2ccc(Cl)cc21,359.8340000000001,4.547000000000002,1.0,4.0,5.3979400086720375,intermediate
20,CHEMBL91233,COc1ccc(C2CC3=Nc4ccc(F)cc4SC3=C(O)C2)cc1OC,371.43300000000016,5.368300000000003,1.0,5.0,4.698970004336019,inactive
21,CHEMBL329337,COc1cccc(C2CC3=Nc4ccc(Cl)cc4SC3=C(O)C2)c1,357.86200000000014,5.874000000000003,1.0,4.0,4.698970004336019,inactive
22,CHEMBL89985,OC1=C2Sc3cc(Cl)ccc3N=C2CCC1,251.73799999999994,4.471700000000002,1.0,3.0,4.3979400086720375,inactive
